"","Site","Cover","Year","AssSub","Gluc","Oxal","Glyc","AssTemp","LatN","LongE","Biome","MAT","MAP","MAT2","MAP2","MT3","MT2","MT1","Sand","Silt","Clay","Cper","Nper","Resp","SIR","pH","Hion","WHC","Moist","TotPLFA","SITE","COVER","YEAR","LogResp"
"17","KNZ","herb",2010,"Glucose","1","0",0,12,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.41,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-0.891598119283784
"18","KNZ","forest",2010,"Glucose","1","0",0,12,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,0.74,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",-0.301105092783922
"19","LUQ","herb",2010,"Glucose","1","0",0,12,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.43,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-0.843970070294529
"20","LUQ","forest",2010,"Glucose","1","0",0,12,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,0.64,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",-0.446287102628419
"21","NWT","herb",2010,"Glucose","1","0",0,12,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,0.92,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",-0.083381608939051
"22","NWT","forest",2010,"Glucose","1","0",0,12,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,46.8,38,15.2,14.2,0.89,3.93,16.68,5.16,6.92,1.4333,25.06,228.75,"NWT","forest","2010",1.36863942588117
"23","AND","herb",2010,"Oxalic","0","1",0,12,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,0.4,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",-0.916290731874155
"24","AND","forest",2010,"Oxalic","0","1",0,12,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,0.55,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",-0.59783700075562
"25","BNZ","herb",2010,"Oxalic","0","1",0,12,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,1.39,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",0.3293037471426
"26","BNZ","forest",2010,"Oxalic","0","1",0,12,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,0.73,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",-0.3147107448397
"27","CDR","herb",2010,"Oxalic","0","1",0,12,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.18,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-1.71479842809193
"28","CDR","forest",2010,"Oxalic","0","1",0,12,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.37,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-0.994252273343867
"29","CWT","herb",2010,"Oxalic","0","1",0,12,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.22,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-1.51412773262978
"30","CWT","forest",2010,"Oxalic","0","1",0,12,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,0.75,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",-0.287682072451781
"31","HBR","herb",2010,"Oxalic","0","1",0,12,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,0.35,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",-1.04982212449868
"32","HBR","forest",2010,"Oxalic","0","1",0,12,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,4.98,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",1.60542989103656
"33","HETF","herb",2010,"Oxalic","0","1",0,12,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.27,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-1.30933331998376
"34","HETF","forest",2010,"Oxalic","0","1",0,12,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,1.61,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",0.476234178996372
"35","HFR","herb",2010,"Oxalic","0","1",0,12,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.2,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-1.6094379124341
"36","HFR","forest",2010,"Oxalic","0","1",0,12,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,8.98,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",2.19499988231411
"37","KBS","herb",2010,"Oxalic","0","1",0,12,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,0.55,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",-0.59783700075562
"38","KBS","forest",2010,"Oxalic","0","1",0,12,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,0.28,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",-1.27296567581289
"39","KNZ","herb",2010,"Oxalic","0","1",0,12,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.21,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-1.56064774826467
"40","KNZ","forest",2010,"Oxalic","0","1",0,12,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,0.34,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",-1.07880966137193
"41","LUQ","herb",2010,"Oxalic","0","1",0,12,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.21,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-1.56064774826467
"42","LUQ","forest",2010,"Oxalic","0","1",0,12,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,0.27,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",-1.30933331998376
"43","NWT","herb",2010,"Oxalic","0","1",0,12,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,0.44,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",-0.82098055206983
"44","NWT","forest",2010,"Oxalic","0","1",0,12,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,46.8,38,15.2,14.2,0.89,4.39,16.68,5.16,6.92,1.4333,25.06,228.75,"NWT","forest","2010",1.47932922708708
"45","AND","herb",2010,"Glycine","0","0",1,12,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,0.49,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",-0.713349887877465
"46","AND","forest",2010,"Glycine","0","0",1,12,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,0.59,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",-0.527632742082372
"47","BNZ","herb",2010,"Glycine","0","0",1,12,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,0.5,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",-0.693147180559945
"48","BNZ","forest",2010,"Glycine","0","0",1,12,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,1.01,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",0.00995033085316809
"49","CDR","herb",2010,"Glycine","0","0",1,12,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.11,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-2.20727491318972
"50","CDR","forest",2010,"Glycine","0","0",1,12,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.15,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-1.89711998488588
"51","CWT","herb",2010,"Glycine","0","0",1,12,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.17,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-1.77195684193188
"52","CWT","forest",2010,"Glycine","0","0",1,12,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,0.52,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",-0.653926467406664
"53","HBR","herb",2010,"Glycine","0","0",1,12,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,0.34,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",-1.07880966137193
"54","HBR","forest",2010,"Glycine","0","0",1,12,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,1.05,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",0.048790164169432
"55","HETF","herb",2010,"Glycine","0","0",1,12,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.21,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-1.56064774826467
"56","HETF","forest",2010,"Glycine","0","0",1,12,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,0.72,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",-0.328504066972036
"57","HFR","herb",2010,"Glycine","0","0",1,12,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.22,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-1.51412773262978
"58","HFR","forest",2010,"Glycine","0","0",1,12,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,2.03,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",0.708035793053696
"59","KBS","herb",2010,"Glycine","0","0",1,12,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,0.55,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",-0.59783700075562
"60","KBS","forest",2010,"Glycine","0","0",1,12,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,0.44,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",-0.82098055206983
"61","KNZ","herb",2010,"Glycine","0","0",1,12,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.24,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-1.42711635564015
"62","KNZ","forest",2010,"Glycine","0","0",1,12,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,0.65,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",-0.430782916092454
"63","LUQ","herb",2010,"Glycine","0","0",1,12,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.25,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-1.38629436111989
"64","LUQ","forest",2010,"Glycine","0","0",1,12,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,0.34,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",-1.07880966137193
"65","NWT","herb",2010,"Glycine","0","0",1,12,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,0.26,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",-1.34707364796661
"66","NWT","forest",2010,"Glycine","0","0",1,12,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,46.8,38,15.2,14.2,0.89,4.54,16.68,5.16,6.92,1.4333,25.06,228.75,"NWT","forest","2010",1.51292701205326
"89","AND","herb",2010,"Glucose","1","0",0,20,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,1.13,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",0.122217632724249
"90","AND","forest",2010,"Glucose","1","0",0,20,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,1.28,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",0.246860077931526
"91","BNZ","herb",2010,"Glucose","1","0",0,20,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,2.34,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",0.85015092936961
"92","BNZ","forest",2010,"Glucose","1","0",0,20,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,1.52,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",0.418710334858185
"93","CDR","herb",2010,"Glucose","1","0",0,20,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.61,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-0.49429632181478
"94","CDR","forest",2010,"Glucose","1","0",0,20,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.4,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-0.916290731874155
"95","CWT","herb",2010,"Glucose","1","0",0,20,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.46,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-0.776528789498996
"96","CWT","forest",2010,"Glucose","1","0",0,20,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,0.97,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",-0.0304592074847086
"97","HBR","herb",2010,"Glucose","1","0",0,20,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,0.94,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",-0.0618754037180875
"98","HBR","forest",2010,"Glucose","1","0",0,20,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,2.5,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",0.916290731874155
"99","HETF","herb",2010,"Glucose","1","0",0,20,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.41,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-0.891598119283784
"100","HETF","forest",2010,"Glucose","1","0",0,20,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,2,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",0.693147180559945
"101","HFR","herb",2010,"Glucose","1","0",0,20,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.31,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-1.17118298150295
"102","HFR","forest",2010,"Glucose","1","0",0,20,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,5.2,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",1.64865862558738
"103","KBS","herb",2010,"Glucose","1","0",0,20,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,0.87,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",-0.139262067333508
"104","KBS","forest",2010,"Glucose","1","0",0,20,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,1.09,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",0.0861776962410524
"105","KNZ","herb",2010,"Glucose","1","0",0,20,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,18.4,49.8,31.8,3.05,0.27,0.6,1.9,7.13,0.07,0.4988,22.93,84.98,"KNZ","herb","2010",-0.510825623765991
"106","KNZ","forest",2010,"Glucose","1","0",0,20,39.09,-96.57,"temp",12.9,847,12.2,868,20.9,18,14.8,64.2,23.2,12.6,10.46,0.82,1.64,3.28,8.13,0.01,0.5813,27.05,245,"KNZ","forest","2010",0.494696241836107
"107","LUQ","herb",2010,"Glucose","1","0",0,20,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,26.6,31.4,42,4.58,0.38,0.66,1.07,5.13,7.41,1.123,38.96,77.72,"LUQ","herb","2010",-0.415515443961666
"108","LUQ","forest",2010,"Glucose","1","0",0,20,18.3,-65.8,"trop",22.8,1100,18.5,4381,19.9,19.7,19.8,24,31.8,44.2,6.1,0.45,0.81,1.89,4.97,10.72,1.5935,44.58,146.04,"LUQ","forest","2010",-0.210721031315653
"109","NWT","herb",2010,"Glucose","1","0",0,20,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,62,31.6,6.4,8.16,0.71,1.06,1.17,5.21,6.17,0.8897,33.02,204.98,"NWT","herb","2010",0.0582689081239758
"110","NWT","forest",2010,"Glucose","1","0",0,20,39.99,-105.37,"tun",-3.2,1000,4.4,631,12.9,11,7.7,46.8,38,15.2,14.2,0.89,9.71,16.68,5.16,6.92,1.4333,25.06,228.75,"NWT","forest","2010",2.27315628230323
"111","AND","herb",2010,"Oxalic","0","1",0,20,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,0.62,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",-0.478035800943
"112","AND","forest",2010,"Oxalic","0","1",0,20,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,1.04,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",0.0392207131532813
"113","BNZ","herb",2010,"Oxalic","0","1",0,20,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,2.29,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",0.828551817566148
"114","BNZ","forest",2010,"Oxalic","0","1",0,20,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,1.35,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",0.300104592450338
"115","CDR","herb",2010,"Oxalic","0","1",0,20,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.22,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-1.51412773262978
"116","CDR","forest",2010,"Oxalic","0","1",0,20,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.4,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-0.916290731874155
"117","CWT","herb",2010,"Oxalic","0","1",0,20,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.49,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-0.713349887877465
"118","CWT","forest",2010,"Oxalic","0","1",0,20,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,1.07,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",0.0676586484738149
"119","HBR","herb",2010,"Oxalic","0","1",0,20,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,0.52,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",-0.653926467406664
"120","HBR","forest",2010,"Oxalic","0","1",0,20,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,6.98,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",1.94304891677428
"121","HETF","herb",2010,"Oxalic","0","1",0,20,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.43,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-0.843970070294529
"122","HETF","forest",2010,"Oxalic","0","1",0,20,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,3.04,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",1.11185751541813
"123","HFR","herb",2010,"Oxalic","0","1",0,20,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.26,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-1.34707364796661
"124","HFR","forest",2010,"Oxalic","0","1",0,20,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,3.18,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",1.15688119679209
"125","KBS","herb",2010,"Oxalic","0","1",0,20,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,0.46,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",-0.776528789498996
